slug,source,severity,score,recommendedFix,issues
alarm-habit,static,Pass,95,유지,
bag-organizing,static,Pass,95,유지,
bathroom-habit,static,Pass,95,유지,
bed-making,static,Pass,95,유지,
book-reading,static,Pass,95,유지,
breakfast-preference,static,Pass,95,유지,
breakfast-style,static,Pass,95,유지,
breakup-style,static,Pass,95,유지,
bungeoppang,static,Pass,95,유지,
cafe-style,static,Pass,95,유지,
cake-cutting,static,Pass,95,유지,
chair-sitting,static,Pass,95,유지,
chicken-style,static,Pass,95,유지,
chicken-vs-jjimdak,static,Pass,95,유지,
clean-style,static,Pass,95,유지,
clothing-order,static,Pass,95,유지,
coffee-mbti,static,Pass,95,유지,
commute-style,static,Pass,95,유지,
convenience-snack,static,Pass,95,유지,
cooking-cleanup,static,Pass,95,유지,
cooking-complexity,static,Pass,95,유지,
cooking-create,static,Pass,95,유지,
cooking-experiment,static,Pass,95,유지,
cooking-follow,static,Pass,95,유지,
cooking-garnishing,static,Pass,95,유지,
cooking-improvise,static,Pass,95,유지,
cooking-measurement,static,Pass,95,유지,
cooking-method,static,Pass,95,유지,
cooking-modify,static,Pass,95,유지,
cooking-multitask,static,Pass,95,유지,
cooking-music,static,Pass,95,유지,
cooking-presentation,static,Pass,95,유지,
cooking-recipe,static,Pass,95,유지,
cooking-seasoning,static,Pass,95,유지,
cooking-share,static,Pass,95,유지,
cooking-shared,static,Pass,95,유지,
cooking-solo,static,Pass,95,유지,
cooking-style,static,Pass,95,유지,
cooking-time,static,Pass,95,유지,
cooking-timing,static,Pass,95,유지,
cstore-routine,static,Pass,95,유지,
cvs-combo,static,Pass,95,유지,
dessert-style,static,Pass,95,유지,
dinner-preference,static,Pass,95,유지,
door-closing,static,Pass,95,유지,
drink-preference,static,Pass,95,유지,
evening-cleaning,static,Pass,95,유지,
evening-entertainment,static,Pass,95,유지,
evening-exercise,static,Pass,95,유지,
evening-meal,static,Pass,95,유지,
evening-reflection,static,Pass,95,유지,
evening-routine,static,Pass,95,유지,
evening-sleep-prep,static,Pass,95,유지,
evening-snack,static,Pass,95,유지,
evening-social,static,Pass,95,유지,
evening-wind-down,static,Pass,95,유지,
evening-work,static,Pass,95,유지,
food-allergy,static,Pass,95,유지,
food-aroma,static,Pass,95,유지,
food-bitterness,static,Pass,95,유지,
food-brand,static,Pass,95,유지,
food-budget,static,Pass,95,유지,
food-chewy,static,Pass,95,유지,
food-color-preference,static,Pass,95,유지,
food-combination,static,Pass,95,유지,
food-creamy,static,Pass,95,유지,
food-crispy,static,Pass,95,유지,
food-crunchy,static,Pass,95,유지,
food-delivery,static,Pass,95,유지,
food-delivery-app,static,Pass,95,유지,
food-dipping,static,Pass,95,유지,
food-garnishing,static,Pass,95,유지,
food-garnishing-style,static,Pass,95,유지,
food-label,static,Pass,95,유지,
food-layering,static,Pass,95,유지,
food-mixing,static,Pass,95,유지,
food-new,static,Pass,95,유지,
food-ordering,static,Pass,95,유지,
food-photography,static,Pass,95,유지,
food-plating,static,Pass,95,유지,
food-portion,static,Pass,95,유지,
food-presentation,static,Pass,95,유지,
food-reheating,static,Pass,95,유지,
food-review,static,Pass,95,유지,
food-sale,static,Pass,95,유지,
food-saltiness,static,Pass,95,유지,
food-scooping,static,Pass,95,유지,
food-seasoning,static,Pass,95,유지,
food-sharing,static,Pass,95,유지,
food-sourness,static,Pass,95,유지,
food-spiciness,static,Pass,95,유지,
food-storage,static,Pass,95,유지,
food-sweetness,static,Pass,95,유지,
food-temperature,static,Pass,95,유지,
food-temperature-preference,static,Pass,95,유지,
food-texture,static,Pass,95,유지,
food-timing,static,Pass,95,유지,
food-umami,static,Pass,95,유지,
food-waste,static,Pass,95,유지,
game-play-style,static,Pass,95,유지,
gift-choosing,static,Pass,95,유지,
gift-wrapping,static,Pass,95,유지,
grocery-shopping,static,Pass,95,유지,
hamburger-combo,static,Pass,95,유지,
hotel-breakfast,static,Pass,95,유지,
instagram-story,static,Pass,95,유지,
investment-style,static,Pass,95,유지,
jachui,static,Pass,95,유지,
kakao-reply-style,static,Pass,95,유지,
karaoke-song,static,Pass,95,유지,
kdrama-character,static,Pass,95,유지,
kdrama-mbti,static,Pass,95,유지,
kimbap-ingredient,static,Pass,95,유지,
kpop-idol,static,Pass,95,유지,
laundry-habit,static,Pass,95,유지,
leftover-handling,static,Pass,95,유지,
love-reaction,static,Pass,95,유지,
love-texting-style,static,Pass,95,유지,
lunch-decider,static,Pass,95,유지,
lunch-preference,static,Pass,95,유지,
lunchbox-style,static,Pass,95,유지,
market-choice,static,Pass,95,유지,
meal-balance,static,Pass,95,유지,
meal-cleanup,static,Pass,95,유지,
meal-duration,static,Pass,95,유지,
meal-etiquette,static,Pass,95,유지,
meal-frequency,static,Pass,95,유지,
meal-group,static,Pass,95,유지,
meal-leftover,static,Pass,95,유지,
meal-order,static,Pass,95,유지,
meal-pacing,static,Pass,95,유지,
meal-planning,static,Pass,95,유지,
meal-prep,static,Pass,95,유지,
meal-preparation,static,Pass,95,유지,
meal-serving,static,Pass,95,유지,
meal-sharing,static,Pass,95,유지,
meal-social,static,Pass,95,유지,
meal-solo,static,Pass,95,유지,
meat-grilling,static,Pass,95,유지,
meeting-villain,static,Pass,95,유지,
midnight-snack,static,Pass,95,유지,
mirror-habit,static,Pass,95,유지,
morning-alarm,static,Pass,95,유지,
morning-breakfast,static,Pass,95,유지,
morning-coffee,static,Pass,95,유지,
morning-commute,static,Pass,95,유지,
morning-energy,static,Pass,95,유지,
morning-mood,static,Pass,95,유지,
morning-outfit,static,Pass,95,유지,
morning-phone,static,Pass,95,유지,
morning-rush,static,Pass,95,유지,
morning-shower,static,Pass,95,유지,
movie-theater-style,static,Pass,95,유지,
music-taste,static,Pass,95,유지,
noodle-eating,static,Pass,95,유지,
ntrp-test,static,Pass,95,유지,
online-food,static,Pass,95,유지,
ott-habits,static,Pass,95,유지,
pet-mbti,static,Pass,95,유지,
phone-app-organization,static,Pass,95,유지,
phone-backup,static,Pass,95,유지,
phone-battery,static,Pass,95,유지,
phone-message,static,Pass,95,유지,
phone-notification,static,Pass,95,유지,
phone-payment,static,Pass,95,유지,
phone-photo,static,Pass,95,유지,
phone-search,static,Pass,95,유지,
phone-social-media,static,Pass,95,유지,
phone-storage,static,Pass,95,유지,
phone-style,static,Pass,95,유지,
phone-usage,static,Pass,95,유지,
pizza-topping,static,Pass,95,유지,
ramen-mbti,static,Pass,95,유지,
restaurant-ambiance,static,Pass,95,유지,
restaurant-choice,static,Pass,95,유지,
restaurant-menu,static,Pass,95,유지,
restaurant-price,static,Pass,95,유지,
restaurant-reservation,static,Pass,95,유지,
restaurant-service,static,Pass,95,유지,
rice-eating,static,Pass,95,유지,
salad-dressing,static,Pass,95,유지,
shopping-style,static,Pass,95,유지,
shower-habit,static,Pass,95,유지,
skin-routine,static,Pass,95,유지,
sleep-chronotype,static,Pass,95,유지,
snack-preference,static,Pass,95,유지,
snack-time,static,Pass,95,유지,
snowwhite-mbti,static,Pass,95,유지,
sock-wearing,static,Pass,95,유지,
soup-eating,static,Pass,95,유지,
soup-vs-bibim,static,Pass,95,유지,
spending-style,static,Pass,95,유지,
spice-tolerance,static,Pass,95,유지,
stew-vs-soup,static,Pass,95,유지,
store-choice,static,Pass,95,유지,
study-mbti,static,Pass,95,유지,
subway-vs-bus,static,Pass,95,유지,
taste-preference,static,Pass,95,유지,
travel-style,static,Pass,95,유지,
water-drinking,static,Pass,95,유지,
weekend-balance,static,Pass,95,유지,
weekend-chore,static,Pass,95,유지,
weekend-food,static,Pass,95,유지,
weekend-hobby,static,Pass,95,유지,
weekend-lazy,static,Pass,95,유지,
weekend-planning,static,Pass,95,유지,
weekend-rest,static,Pass,95,유지,
weekend-shopping,static,Pass,95,유지,
weekend-social,static,Pass,95,유지,
weekend-travel,static,Pass,95,유지,
youtube-habit,static,Pass,95,유지,
zombie-survival,static,Pass,95,유지,
